Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1751.4740622831296
FDW14,OUT017,1412.316716067539
NCN55,OUT010,635.3058167381938
FDQ58,OUT017,2493.156440997416
FDY38,OUT027,6144.871057962189
FDH56,OUT046,2052.135922409371
FDL48,OUT018,652.3460665365153
FDC48,OUT027,2273.3137276931507
FDN33,OUT045,1553.9170907639445
FDA36,OUT017,2933.319316234041
FDT44,OUT017,1854.1893296454539
FDQ56,OUT045,1439.1399301356143
NCC54,OUT019,565.9468063272849
FDU11,OUT049,2061.8797751648717
DRL59,OUT013,729.053796992926
FDM24,OUT049,2468.437544768759
FDI57,OUT045,3023.9610282678836
DRC12,OUT018,2897.990510371121
NCM42,OUT027,2839.0371001235185
FDA46,OUT010,508.85705073256895
FDA31,OUT013,3040.0250996960613
NCJ31,OUT035,3712.917370607719
FDG52,OUT046,755.8826258581344
NCL19,OUT019,368.17148274919003
FDS10,OUT035,2935.767471412479
FDX22,OUT010,687.3223012786068
NCF19,OUT035,731.8101104130619
NCE06,OUT046,2427.3059741671236
DRC27,OUT046,3746.5634167248472
FDE21,OUT035,1901.0528146933852
NCR42,OUT019,113.11039367292447
FDX51,OUT018,2769.8971012448624
NCR06,OUT018,544.6282860161202
FDU31,OUT027,5632.306343848055
FDU59,OUT017,2498.8127506151727
FDR03,OUT027,5406.112596954821
FDS49,OUT027,2296.4444363816096
FDD48,OUT010,239.29237240053072
NCF18,OUT017,3117.9532775655935
NCD43,OUT027,2636.7137177077184
NCD54,OUT018,1925.4625314647692
FDY19,OUT010,247.3294065177507
NCY54,OUT017,2657.3513740431854
NCL19,OUT018,1917.0414541040823
FDP23,OUT010,601.880462710536
FDC26,OUT013,1903.6546233186593
FDR14,OUT010,171.8178538776033
NCS41,OUT035,3091.616142228032
FDF41,OUT035,3863.9866848395413
FDU34,OUT046,2039.1278801853787
DRH11,OUT046,924.0627054231965
FDM03,OUT013,1796.5807869201321
FDS31,OUT017,3095.9333472175044
FDJ20,OUT017,1962.434171373807
FDV44,OUT027,5081.9926553057385
FDG02,OUT049,3181.937486306376
FDA09,OUT013,3000.589332746911
FDT04,OUT013,629.841931858669
FDL58,OUT019,853.8702323173535
FDE52,OUT045,1433.841655190303
FDW12,OUT035,2551.176737851465
FDL51,OUT017,3898.282806737923
NCY42,OUT027,3640.8254901357195
FDR07,OUT017,1526.115767455855
FDN40,OUT045,2412.2631350468005
FDB35,OUT027,2574.1122210643275
FDA22,OUT017,2553.6957986875304
NCL06,OUT046,3835.859433009059
FDI35,OUT013,3294.6122981134818
NCW42,OUT045,3469.800397305786
NCX06,OUT049,2987.206485124426
FDC37,OUT027,2780.4459882327883
FDZ14,OUT018,1743.4975702940492
DRG49,OUT049,4429.480198892689
NCG06,OUT045,3893.9725345599586
DRC36,OUT045,2901.631465211791
FDV21,OUT019,313.4580579898501
